id,value
id_0,7
id_1,23
id_2,-5
id_3,16
id_4,-30
id_5,-2
id_6,-5
id_7,-18
id_8,8
id_9,-17
id_10,-5
id_11,27
id_12,28
id_13,-19
id_14,10
id_15,-19
id_16,45
id_17,-10
id_18,21
id_19,24
id_20,-7
id_21,32
id_22,3
id_23,-11
id_24,8
id_25,6
id_26,3
id_27,-37
id_28,7
id_29,6
id_30,-25
id_31,-17
id_32,-21
id_33,-25
id_34,-12
id_35,37
id_36,-11
id_37,-19
id_38,-21
id_39,34
id_40,3
id_41,54
id_42,21
id_43,-1
id_44,3
id_45,0
id_46,31
id_47,64
id_48,3
id_49,1
id_50,3
id_51,0
id_52,1
id_53,0
id_54,-18
id_55,26
id_56,2
id_57,-2
id_58,9
id_59,23
id_60,-37
id_61,-7
id_62,27
id_63,-13
id_64,19
id_65,-25
id_66,-13
id_67,6
id_68,-26
id_69,3
id_70,6
id_71,7
id_72,-16
id_73,-14
id_74,-34
id_75,-16
id_76,-4
id_77,-31
id_78,-2
id_79,28
id_80,-7
id_81,16
id_82,-32
id_83,30
id_84,-19
id_85,-18
id_86,37
id_87,-24
id_88,-3
id_89,-24
id_90,-3
id_91,-5
id_92,20
id_93,12
id_94,7
id_95,-1
id_96,10
id_97,-15
id_98,0
id_99,-10
id_100,-13
id_101,21
id_102,-22
id_103,22
id_104,-13
id_105,31
id_106,-13
id_107,2
id_108,34
id_109,15
id_110,-22
id_111,-22
id_112,8
id_113,28
id_114,-14
id_115,16
id_116,9
id_117,47
id_118,0
id_119,-16
id_120,101
id_121,76
id_122,-15
id_123,-35
id_124,-11
id_125,-9
id_126,-17
id_127,-25
id_128,-24
id_129,47
id_130,116
id_131,5
id_132,14
id_133,9
id_134,-19
id_135,-16
id_136,-26
id_137,-17
id_138,8
id_139,20
id_140,14
id_141,-29
id_142,-6
id_143,-9
id_144,-21
id_145,-16
id_146,1
id_147,-20
id_148,0
id_149,-9
id_150,23
id_151,-20
id_152,-18
id_153,-33
id_154,17
id_155,18
id_156,-22
id_157,9
id_158,-11
id_159,8
id_160,35
id_161,-23
id_162,7
id_163,-9
id_164,3
id_165,-14
id_166,24
id_167,-28
id_168,16
id_169,-24
id_170,-17
id_171,11
id_172,-29
id_173,-25
id_174,-7
id_175,2
id_176,-18
id_177,-22
id_178,-27
id_179,1
id_180,4
id_181,5
id_182,16
id_183,-25
id_184,-14
id_185,-5
id_186,-15
id_187,-21
id_188,-19
id_189,-22
id_190,-36
id_191,-25
id_192,-10
id_193,27
id_194,41
id_195,-35
id_196,34
id_197,-11
id_198,-25
id_199,-16
id_200,59
id_201,-15
id_202,27
id_203,-13
id_204,8
id_205,13
id_206,-33
id_207,-17
id_208,27
id_209,1
id_210,-6
id_211,35
id_212,-22
id_213,67
id_214,11
id_215,23
id_216,35
id_217,26
id_218,21
id_219,17
id_220,-3
id_221,25
id_222,6
id_223,5
id_224,2
id_225,-28
id_226,-27
id_227,22
id_228,-18
id_229,-38
id_230,2
id_231,-26
id_232,-28
id_233,15
id_234,-3
id_235,-8
id_236,-22
id_237,-38
id_238,3
id_239,-37
